"ArtNumber";"Title";"Description_Short";"DisplayPrice";"Img_url";"Deeplink1";"ProductCategoryID";"ProductCategoryName"
"1013.09";"Merlot Fasoli Veneto IGT 2009, Bio Wein Rotwein";"Ein Merlot, ganz auf Frucht gebaut - ein sympathischer Begleiter für den Alltag.";"7.90 EUR ";"http://www.delinat.com/flaschen/450h/1013.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1013.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1013.09&utm-campaign=affilinet-csv";35844374;"Wein > Rotwein > Italien > Veneto > Valpolicella"
"1013.10";"Merlot Fasoli Veneto IGT 2010, Bio Wein Rotwein";"Ein Merlot, ganz auf Frucht gebaut - ein sympathischer Begleiter für den Alltag.";"7.90 EUR ";"http://www.delinat.com/flaschen/450h/1013.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1013.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1013.10&utm-campaign=affilinet-csv";35844374;"Wein > Rotwein > Italien > Veneto > Valpolicella"
"1013.11";"Merlot Fasoli Veneto IGT 2011, Bio Wein Rotwein";"Ein Merlot, ganz auf Frucht gebaut - ein sympathischer Begleiter für jeden Tag.";"7.90 EUR ";"http://www.delinat.com/flaschen/450h/1013.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1013.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1013.11&utm-campaign=affilinet-csv";35844374;"Wein > Rotwein > Italien > Veneto > Valpolicella"
"1035.10";"Osoti Vendimia Seleccionada Rioja DOCa 2010, Bio Wein Rotwein";"Ein zeitgenössischer Spanier für Rioja-Liebhaber und solche, die es werden wollen.";"11.90 EUR ";"http://www.delinat.com/flaschen/450h/1035.06.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1035.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1035.10&utm-campaign=affilinet-csv";35844414;"Wein > Rotwein > Spanien > Rioja"
"1050.09";"Château Duvivier Les Hirondelles Pay du Var IGP 2009, Bio Wein Rotwein";"Eine perfekt gelungene Assemblage aus regionalen und internationalen Sorten - subtil im Holz ausgebaut: fruchtig und weich - ein wahrer Genuss!";"13.50 EUR ";"http://www.delinat.com/flaschen/450h/1050.09.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1050.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1050.09&utm-campaign=affilinet-csv";35844377;"Wein > Rotwein > Frankreich > Provence > Var"
"1082.10";"Cannonau di Sardegna Cannonau di Sardegna DOC 2010, Bio Wein Rotwein";"Die Melonis gehören zu Sardiniens Weinpionieren - ihr Cannonau (Grenache) überzeugt die Delinat-Kunden Jahr für Jahr.";"10.90 EUR ";"http://www.delinat.com/flaschen/450h/1082.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1082.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1082.10&utm-campaign=affilinet-csv";35844391;"Wein > Rotwein > Italien > Sardegna"
"1125.09";"Spiropoulos Nemea PDO Nemea 2009, Bio Wein Rotwein";"Die besten griechischen Weine stammen aus Nemea - sagen die Griechen! Das ist einer davon - ein Topwein!";"14.90 EUR ";"http://www.delinat.com/flaschen/450h/1125.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1125.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1125.09&utm-campaign=affilinet-csv";35844379;"Wein > Rotwein > Griechenland > Mantinia"
"1142.11";"Domaine Spiropoulos Alikos PGI Peloponnese 2011, Bio Wein Rotwein";"Agiorgitiko, eine der ältesten Traubensorte der Welt, trifft Syrah: ein geschmeidiger Rotwein aus Griechenland mit viel mediterranem Charme.";"9.90 EUR ";"http://www.delinat.com/flaschen/450h/1142.08.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1142.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1142.11&utm-campaign=affilinet-csv";35844379;"Wein > Rotwein > Griechenland > Mantinia"
"1199.11";"Coltibuono Toscana IGT 2011, Bio Wein Rotwein";"Ein authentischer Toskaner mit Frucht und Würze - zu 100 Prozent aus Sangiovese gekeltert.";"8.90 EUR ";"http://www.delinat.com/flaschen/450h/1199.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1199.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1199.11&utm-campaign=affilinet-csv";35844380;"Wein > Rotwein > Italien > Toscana"
"1204.11";"Conterocca Toscana IGT 2011, Bio Wein Rotwein";"Ein neuer, geschmeidiger Toskaner - frisch und fruchtig. Geprägt von regionstypischem, optimal gereiftem Traubengut aus der wilden Maremma.";"9.50 EUR ";"http://www.delinat.com/flaschen/450h/1204.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1204.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1204.11&utm-campaign=affilinet-csv";35844381;"Wein > Rotwein > Italien > Toscana > Montecucco"
"1211.10";"Pasión Delinat La Mancha DO 2010, Bio Wein Rotwein";"Mehr als ein Wein - hier stecken Temperament und spanische Leidenschaft drin.";"7.30 EUR ";"http://www.delinat.com/flaschen/450h/1211.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1211.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1211.10&utm-campaign=affilinet-csv";35844384;"Wein > Rotwein > Spanien > La Mancha"
"1217.09";"La Tour des Vidaux Tradition Côtes de Provence AOP 2009, Bio Wein Rotwein";"Schon beim Schnuppern am Weinglas entführt Sie der würzige Duft mitten ins Herz der Provence.";"11.50 EUR ";"http://www.delinat.com/flaschen/450h/1217.05.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1217.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1217.09&utm-campaign=affilinet-csv";35844382;"Wein > Rotwein > Frankreich > Provence > Côtes de Provence"
"1217.10";"La Tour des Vidaux Tradition Côtes de Provence AOP 2010, Bio Wein Rotwein";"Schon beim Schnuppern am Weinglas entführt Sie der würzige Duft mitten ins Herz der Provence.";"11.50 EUR ";"http://www.delinat.com/flaschen/450h/1217.05.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1217.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1217.10&utm-campaign=affilinet-csv";35844382;"Wein > Rotwein > Frankreich > Provence > Côtes de Provence"
"1222.09";"Finca Sol La Mancha DO 2009, Bio Wein Rotwein";"Don Quijote hätte Freude an diesem Wein. Denn wie der traurige Ritter, so ist auch der Finca Sol ein Klassiker aus der La Mancha. Allerdings einer mit zeitgenössischem Charme.";"6.95 EUR ";"http://www.delinat.com/flaschen/450h/1222.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1222.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1222.09&utm-campaign=affilinet-csv";35844384;"Wein > Rotwein > Spanien > La Mancha"
"1237.11";"Fata Morgana Primitivo Puglia IGP 2011, Bio Wein Rotwein";"Eine Spezialität aus dem südlichsten Zipfel Italiens. So verführerisch wie ein orientalisches Märchen.";"8.90 EUR ";"http://www.delinat.com/flaschen/450h/1237.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1237.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1237.11&utm-campaign=affilinet-csv";35844386;"Wein > Rotwein > Italien > Puglia > Manduria"
"1244.10";"Il Conventino Rosso di Montepulciano DOC 2010, Bio Wein Rotwein";"Ein traditioneller Toskaner, gebaut auf Frucht und Würze - ohne Holzaromen. Ein Wein, so weich und harmonisch wie die Hügelzüge der Toskana.";"11.50 EUR ";"http://www.delinat.com/flaschen/450h/1244.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1244.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1244.10&utm-campaign=affilinet-csv";35844387;"Wein > Rotwein > Italien > Toscana > Montepulciano"
"1261.03";"Campo Quadro 2003 Barbaresco DOCG, Bio Wein Rotwein";"Barbaresco in Bioqulität ist eine Rarität. Der Campo Quadro des bekannten Bioweinguts  Punset ist diesbezüglich ein Aushängeschild im Piemont.";"33.00 EUR ";"http://www.delinat.com/flaschen/450h/1261.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1261.03.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1261.03&utm-campaign=affilinet-csv";35844388;"Wein > Rotwein > Italien > Piemonte"
"1267.09";"Gentile Montepulciano d´Abruzzo DOC 2009, Bio Wein Rotwein";"Hoch im Kurs: Immer mehr Leute entdecken Abruzzen-Weine wie den Gentile, der durch seinen eigenständigen Charakter besticht.";"9.90 EUR ";"http://www.delinat.com/flaschen/450h/1267.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1267.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1267.09&utm-campaign=affilinet-csv";35844389;"Wein > Rotwein > Italien > Abruzzo"
"1267.10";"Gentile Montepulciano d´Abruzzo DOC 2010, Bio Wein Rotwein";"Lange unbeachtet, heute hoch im Kurs: Immer mehr Leute entdecken Abruzzen-Weine wie den Gentile, der durch seinen eigenständigen Charakter besticht.";"9.50 EUR ";"http://www.delinat.com/flaschen/450h/1267.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1267.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1267.10&utm-campaign=affilinet-csv";35844389;"Wein > Rotwein > Italien > Abruzzo"
"1272.10";"La Tour des Vidaux Saint Paul Côtes de Provence AOP 2010, Bio Wein Rotwein";"Im Klangmeer klassischer Musik gereift: Kräftig, vollmundig, harmonisch - ein Wein mit unvergleichlicher Harmonie.";"15.80 EUR ";"http://www.delinat.com/flaschen/450h/1272.06.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1272.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1272.10&utm-campaign=affilinet-csv";35844382;"Wein > Rotwein > Frankreich > Provence > Côtes de Provence"
"1294.10";"Vasulo Kauro Sicilia IGT 2010, Bio Wein Rotwein";"Das Gebiet von Eloro ist das Eldorado der Nero dAvola. Dieser Rotwein verkörpert sizilianisches Temperament pur!";"9.90 EUR ";"http://www.delinat.com/flaschen/450h/1294.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1294.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1294.10&utm-campaign=affilinet-csv";35844390;"Wein > Rotwein > Italien > Sicilia"
"1346.11";"Isola dei Nuraghi Isola dei Nuraghi IGT 2011, Bio Wein Rotwein";"Eine Ode an die Turmbauten aus der Nuraghen-Kultur - und ein Muss für Sardinien-Liebhaber.";"7.90 EUR ";"http://www.delinat.com/flaschen/450h/1346.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1346.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1346.11&utm-campaign=affilinet-csv";35844391;"Wein > Rotwein > Italien > Sardegna"
"1413.10";"San Domingo Indigo Catalunya DO 2010, Bio Wein Rotwein";"Die Trauben für diesen tiefgründigen Rotwein gedeihen mitten in einem traumhaften Naturparadies.";"10.90 EUR ";"http://www.delinat.com/flaschen/450h/1413.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1413.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1413.10&utm-campaign=affilinet-csv";35844392;"Wein > Rotwein > Spanien > Catalunya"
"1446.10";"Villa Dorata Sicilia IGT 2010, Bio Wein Rotwein";"Moderne trifft Tradition - die Visitenkarte des Marchese de Gregorio: Schon seit 1730 bewohnt die Adelsfamlie das Gut in Sirignano. Heute keltert Massimo einen viel beachteten, modernen Rotwein.";"7.90 EUR ";"http://www.delinat.com/flaschen/450h/1446.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1446.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1446.10&utm-campaign=affilinet-csv";35844390;"Wein > Rotwein > Italien > Sicilia"
"1446.11";"Villa Dorata Sicilia IGT 2011, Bio Wein Rotwein";"Moderne trifft Tradition: Schon seit 1730 führt die Familie Marchesi de Gregorio das Gut Sirignano. Heute keltert Massimo mit dem Villa Dorata einen viel beachteten, modernen Rotwein.";"7.90 EUR ";"http://www.delinat.com/flaschen/450h/1446.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1446.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1446.11&utm-campaign=affilinet-csv";35844390;"Wein > Rotwein > Italien > Sicilia"
