aff_link,img_medium,name,shortdescription,longdescription,author,outlet,price,external_id,further_keywords,vineyard
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1013.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1013.09&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1013.jpg,"Merlot Fasoli Veneto IGT 2009, Bio Wein Rotwein","Ein Merlot, ganz auf Frucht gebaut - ein sympathischer Begleiter für den Alltag.",,delinat,Delinat Online Shop,7.90 ,1013.09,"['Biowein', 'Bio', 'Wein > Rotwein > Italien > Veneto > Valpolicella']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1013.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1013.10&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1013.jpg,"Merlot Fasoli Veneto IGT 2010, Bio Wein Rotwein","Ein Merlot, ganz auf Frucht gebaut - ein sympathischer Begleiter für den Alltag.",,delinat,Delinat Online Shop,7.90 ,1013.10,"['Biowein', 'Bio', 'Wein > Rotwein > Italien > Veneto > Valpolicella']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1013.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1013.11&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1013.jpg,"Merlot Fasoli Veneto IGT 2011, Bio Wein Rotwein","Ein Merlot, ganz auf Frucht gebaut - ein sympathischer Begleiter für jeden Tag.",,delinat,Delinat Online Shop,7.90 ,1013.11,"['Biowein', 'Bio', 'Wein > Rotwein > Italien > Veneto > Valpolicella']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1035.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1035.10&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1035.06.jpg,"Osoti Vendimia Seleccionada Rioja DOCa 2010, Bio Wein Rotwein","Ein zeitgenössischer Spanier für Rioja-Liebhaber und solche, die es werden wollen.",,delinat,Delinat Online Shop,11.90 ,1035.10,"['Biowein', 'Bio', 'Wein > Rotwein > Spanien > Rioja']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1050.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1050.09&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1050.09.jpg,"Château Duvivier Les Hirondelles Pay du Var IGP 2009, Bio Wein Rotwein",Eine perfekt gelungene Assemblage aus regionalen und internationalen Sorten - subtil im Holz ausgebaut: fruchtig und weich - ein wahrer Genuss!,,delinat,Delinat Online Shop,13.50 ,1050.09,"['Biowein', 'Bio', 'Wein > Rotwein > Frankreich > Provence > Var']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1082.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1082.10&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1082.jpg,"Cannonau di Sardegna Cannonau di Sardegna DOC 2010, Bio Wein Rotwein",Die Melonis gehören zu Sardiniens Weinpionieren - ihr Cannonau (Grenache) überzeugt die Delinat-Kunden Jahr für Jahr.,,delinat,Delinat Online Shop,10.90 ,1082.10,"['Biowein', 'Bio', 'Wein > Rotwein > Italien > Sardegna']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1125.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1125.09&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1125.jpg,"Spiropoulos Nemea PDO Nemea 2009, Bio Wein Rotwein",Die besten griechischen Weine stammen aus Nemea - sagen die Griechen! Das ist einer davon - ein Topwein!,,delinat,Delinat Online Shop,14.90 ,1125.09,"['Biowein', 'Bio', 'Wein > Rotwein > Griechenland > Mantinia']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1142.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1142.11&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1142.08.jpg,"Domaine Spiropoulos Alikos PGI Peloponnese 2011, Bio Wein Rotwein","Agiorgitiko, eine der ältesten Traubensorte der Welt, trifft Syrah: ein geschmeidiger Rotwein aus Griechenland mit viel mediterranem Charme.",,delinat,Delinat Online Shop,9.90 ,1142.11,"['Biowein', 'Bio', 'Wein > Rotwein > Griechenland > Mantinia']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1199.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1199.11&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1199.jpg,"Coltibuono Toscana IGT 2011, Bio Wein Rotwein",Ein authentischer Toskaner mit Frucht und Würze - zu 100 Prozent aus Sangiovese gekeltert.,,delinat,Delinat Online Shop,8.90 ,1199.11,"['Biowein', 'Bio', 'Wein > Rotwein > Italien > Toscana']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1204.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1204.11&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1204.jpg,"Conterocca Toscana IGT 2011, Bio Wein Rotwein","Ein neuer, geschmeidiger Toskaner - frisch und fruchtig. Geprägt von regionstypischem, optimal gereiftem Traubengut aus der wilden Maremma.",,delinat,Delinat Online Shop,9.50 ,1204.11,"['Biowein', 'Bio', 'Wein > Rotwein > Italien > Toscana > Montecucco']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1211.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1211.10&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1211.jpg,"Pasión Delinat La Mancha DO 2010, Bio Wein Rotwein",Mehr als ein Wein - hier stecken Temperament und spanische Leidenschaft drin.,,delinat,Delinat Online Shop,7.30 ,1211.10,"['Biowein', 'Bio', 'Wein > Rotwein > Spanien > La Mancha']",
