"Zupid","sku","ProductName","ProductPrice","CurrencySymbolOfPrice","ValidFromDate","ProductShortDescription","MerchantProductCategory","ZanoxCategoryIds","ImageSmallURL","ImageMediumURL","ProductManufacturerBrand","ZanoxProductLink","DeliveryTime","TermsOfContract","ISBN","ShippingAndHandling","ShippingAndHandlingCost"
"07cbe7a7f24a1825ad80191e18b5db55","0000000000016","Weinpräsentkarton offene Welle dunkelblau","3.95","EUR",,"Für 1, 2, 3 oder 6 Flaschen geeignet  Bitte bestellen Sie bei Bedarf die entsprechende Menge. Gewelltes Material, matt.","Geschenke / Holzkisten & Geschenkverpackungen",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/6rHlG6qy5EELttcGWBzBEd-30.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/6rHlG6qy5EELttcGWBzBEd-30.jpg","Weinpräsentkarton","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[NP4dpxbR5EELttcGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"bab071937221522cbb50f1205afc6669","0000000000017","Weinpräsentkarton offene Welle bordeaux","3.95","EUR",,"Für 1, 2, 3 oder 6 Flaschen geeignet  Bitte bestellen Sie bei Bedarf die entsprechende Menge. Gewelltes Material, matt.","Geschenke / Holzkisten & Geschenkverpackungen",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/JejVLO3G9EELttcGWBzBEd-30.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/JejVLO3G9EELttcGWBzBEd-30.jpg","Weinpräsentkarton","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[jG4GMk2V9EELttcGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"2be4b484b54af5fbe0c98defce2211b1","0000000000071","Holzkiste für 3 Flaschen mit Schiebedeckel natur","8.50","EUR",,"für Ihre Geschenke.","Geschenke / Holzkisten & Geschenkverpackungen",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/holzkiste_schiebedeckel_300_p1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/holzkiste_schiebedeckel_300_p1.jpg","Holzkiste","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[4dr4c18db87aadd51.05932131]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"cc2b90404ad75ea4e1eeeba48619a68c","0000000000078","Weinpräsentkarton offene Welle Natur","3.95","EUR",,"für 1, 2, 3 oder 6 Flaschen geeignet  Bitte bestellen Sie bei Bedarf die entsprechende Menge. Gewelltes Material, matt.","Geschenke / Holzkisten & Geschenkverpackungen",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/mvOjpcztetELttcGWBzBEd-30.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/mvOjpcztetELttcGWBzBEd-30.jpg","Weinpräsentkarton","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[rcMP3h05ftELttcGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"829abee9759e7e531e72d68a5555749e","0000000002174","Mautner Markhof Feine Blüte Holunderblütensirup","4.49","EUR",,"Holunderblütensirup mit Vitamin C","",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/mautnermarkhoffeineblteholunderbltensirup.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/mautnermarkhoffeineblteholunderbltensirup.jpg","Mautner Markhof","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[c284d997dfe4af078.30373741]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"89f741577e4f95d7610417b3ec00925d","000000000268206000","Geografico Castello di Tricerchi Brunello di Montalcino DOCG JG 2004","27.00","EUR",,"Italien - Toskana. Enthält Sulfite.","Weinkeller / Sonderaktionen / Restposten Wein",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/brunellodimontalcin_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/brunellodimontalcin_500_z1.jpg","Geografico","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[hjh4b066e6727c1e6.38316380]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"1e44973c77d9d347165fcd2514926193","000000000394626008","Soberano Brandy Solera","13.99","EUR",,"Feine Noten von Sherry, feinwürzigem Eichenholz und Vanille. Im Geschmack weich und vollmundig mit feinem Tannin und all den warmen Aromen des Bouquets, die auch am Gaumen gut zu spüren sind, sehr elegant mit wunderschöner Länge im Finale.","Dunkle Spirituosen / Brandy & Weinbrand / Soberano Brandy",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/soberano_brandy_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/soberano_brandy_500_z1.jpg","Soberano","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[2t84d6d0831ac9668.59113543]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"c1be89bc6c2f7a76b57ad302706c8868","0000000005517","Scheibel Edles Fass 350 Goldmarillenbrand","38.99","EUR",,"Goldmarillenbrand. Der Marillengarten im Glas. Der bernstein-farbene Brand begeistert durch sein fruchtiges Bouquet und den verfeinerten Geschmack.","Spirituosen / Klare Spirituosen / Edelbrand",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/edlesfass_goldmarille_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/edlesfass_goldmarille_500_z1.jpg","Scheibel","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[4tt4acdc53c38d550.75216360]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"67e297e9a8d05107df272fc2df5d89b9","0000000008110","Darboven Bio Cafe Intencion ecologico Cremoso 16 Pads","2.59","EUR",,"","",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/getimgs(1).png","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/getimgs(1).png","Darboven","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[sssafa7294aa9968732cb241acf479c5]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"811dea0009efb296b5b3242a44eb891e","0000000008509","Lillet Aperitif Rouge","13.99","EUR",,"Weinlikör aus Frankreich","Spirituosen / Liköre / Szene Drinks",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/lillet-aperitif-rouge-17075l_preview.png","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/lillet-aperitif-rouge-17075l_preview.png","Lillet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[ht9e4909e2aa4c5a8517acb9b597c548]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
