aff_link,img_medium,name,shortdescription,longdescription,author,outlet,price,external_id,further_keywords,vineyard
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.at/colosi-nero-d-avola-cantine-colosi-sizilien-a61008r50194216.html?afpartner=03]],http://www.gustini.at/artikelbilder/61008.jpg,Colosi Nero d Avola Cantine Colosi Sizilien,Robert Parker gab dem 2007er Jahrgang dieses Weins 90 Parker-Punkte und erhob ihn in die italienische Wein-Elite. Colosi hat damit zum zweiten Mal diese hohe Punktzahl erreicht. Dieser 2011er Jahrgang ist allerdings ...,,gustini,Gustini Online Shop,8.90,,"['AT / Wein und Prosecco / Rotwein ab 10 EUR', 'Cantine Colosi']",
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.de/colosi-nero-d-avola-cantine-colosi-sizilien-a61008r50194216.html?afpartner=03]],http://www.gustini.de/artikelbilder/61008.jpg,Colosi Nero d Avola Cantine Colosi Sizilien,Robert Parker gab dem 2007er Jahrgang dieses Weins 90 Parker-Punkte und erhob ihn in die italienische Wein-Elite. Colosi hat damit zum zweiten Mal diese hohe Punktzahl erreicht. Dieser 2011er Jahrgang ist allerdings ...,,gustini,Gustini Online Shop,8.90,,"['DE / Wein und Prosecco / Rotwein ab 10 EUR', 'Cantine Colosi']",
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.at/casa-defra-merlot-del-veneto-doc-2011-a61014r50194140.html?afpartner=03]],http://www.gustini.at/artikelbilder/61014.jpg,Casa Defra Merlot del Veneto DOC 2011,Öffnen Sie eine Flasche dieses feinen Merlots & sein Duft entführt Sie direkt auf eine sonnige Weinterrasse inmitten der Hügel Veneziens. 2011er Nachfolger einer der besten Rotweine 2008-vielleicht noch ein wenig besser!,,gustini,Gustini Online Shop,4.79,,"['AT / Wein und Prosecco / Testsieger Weine', 'Casa Defra']",
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.de/casa-defra-merlot-del-veneto-doc-2011-a61014r50194140.html?afpartner=03]],http://www.gustini.de/artikelbilder/61014.jpg,Casa Defra Merlot del Veneto DOC 2011,Öffnen Sie eine Flasche dieses feinen Merlots & sein Duft entführt Sie direkt auf eine sonnige Weinterrasse inmitten der Hügel Veneziens. 2011er Nachfolger einer der besten Rotweine 2008-vielleicht noch ein wenig besser!,,gustini,Gustini Online Shop,4.79,,"['DE / Wein und Prosecco / Testsieger Weine', 'Casa Defra']",
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.at/poggio-delle-faine-igt-2007-rotwein-des-jahres-toskana-italiencantine-minini-a61062r50194216.html?afpartner=03]],http://www.gustini.at/artikelbilder/61062.jpg,Poggio Delle Faine IGT 2007 Rotwein des Jahres Toskana Italien Cantine Minini,Ein großartiger Rotwein aus der Toskana. Der Nachfolger des Rotweins des Jahres 2008 - vielleicht noch ein wenig besser! Das konzentrierte Bouquet von weicher Vanille und ein warmes fruchtiges Aroma ...,,gustini,Gustini Online Shop,11.90,,"['AT / Wein und Prosecco / Rotwein ab 10 EUR', 'Cantine Minini']",
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.de/poggio-delle-faine-igt-2007-rotwein-des-jahres-toskana-italiencantine-minini-a61062r50194216.html?afpartner=03]],http://www.gustini.de/artikelbilder/61062.jpg,Poggio Delle Faine IGT 2007 Rotwein des Jahres Toskana Italien Cantine Minini,Ein großartiger Rotwein aus der Toskana. Der Nachfolger des Rotweins des Jahres 2008 - vielleicht noch ein wenig besser! Das konzentrierte Bouquet von weicher Vanille und ein warmes fruchtiges Aroma ...,,gustini,Gustini Online Shop,11.90,,"['DE / Wein und Prosecco / Rotwein ab 10 EUR', 'Cantine Minini']",
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.at/vorteilspack-3-flaschen-poggio-delle-faine-igt-2007-a61064r50194216.html?afpartner=03]],http://www.gustini.at/artikelbilder/61064.jpg,Vorteilspack 3 Flaschen Poggio Delle Faine IGT 2007,Ein großartiger Rotwein aus der Toskana. Der Nachfolger des Rotweins des Jahres 2008 - vielleicht noch ein wenig besser! Das konzentrierte Bouquet von weicher Vanille und ein warmes fruchtiges Aroma zeichnen diesen ...,,gustini,Gustini Online Shop,32.70,,"['AT / Wein und Prosecco / Rotwein ab 10 EUR', 'Cantine Minini']",
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.de/vorteilspack-3-flaschen-poggio-delle-faine-igt-2007-a61064r50194216.html?afpartner=03]],http://www.gustini.de/artikelbilder/61064.jpg,Vorteilspack 3 Flaschen Poggio Delle Faine IGT 2007,Ein großartiger Rotwein aus der Toskana. Der Nachfolger des Rotweins des Jahres 2008 - vielleicht noch ein wenig besser! Das konzentrierte Bouquet von weicher Vanille und ein warmes fruchtiges Aroma zeichnen diesen ...,,gustini,Gustini Online Shop,32.70,,"['DE / Wein und Prosecco / Rotwein ab 10 EUR', 'Cantine Minini']",
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.at/cabernet-igt-barrique-villa-degli-olmi-venetien-a61074r50194147.html?afpartner=03]],http://www.gustini.at/artikelbilder/61074.jpg,Cabernet IGT Barrique Villa degli Olmi Venetien,Durch den Fassausbau erreicht der Wein aus Cabernet Sauvignon der Brüder Cielo sein unverwechselbares Aroma. Er besticht durch seine intensiv rote Farbe und die würzigen Noten.,,gustini,Gustini Online Shop,6.95,,"['AT / Wein und Prosecco / Rotwein ab 5 EUR', 'Villa degli Olmi']",
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.de/cabernet-igt-barrique-villa-degli-olmi-venetien-a61074r50194147.html?afpartner=03]],http://www.gustini.de/artikelbilder/61074.jpg,Cabernet IGT Barrique Villa degli Olmi Venetien,Durch den Fassausbau erreicht der Wein aus Cabernet Sauvignon der Brüder Cielo sein unverwechselbares Aroma. Er besticht durch seine intensiv rote Farbe und die würzigen Noten.,,gustini,Gustini Online Shop,6.95,,"['DE / Wein und Prosecco / Rotwein ab 5 EUR', 'Villa degli Olmi']",
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.at/nero-d-avola-igt-sicilia-loggia-del-sole-sizilien-a61082r50194039.html?afpartner=03]],http://www.gustini.at/artikelbilder/61082.jpg,Nero d Avola IGT Sicilia Loggia del Sole Sizilien,"Aus der typisch sizilianischen Rebsorte Nero d&apos;Avola wird dieser intensiv dunkelrote Wein gekeltert, der durch seinen herrlichen Duft von Maulbeeren besticht. Ganz hervorragend zu roten Fleischgerichten.",,gustini,Gustini Online Shop,4.79,,"['AT / Wein und Prosecco / Rotwein unter 5 EUR', 'Loggia del Sole']",
http://ad.zanox.com/ppc/?20177713C1815612459&ULP=[[http://www.gustini.de/nero-d-avola-igt-sicilia-loggia-del-sole-sizilien-a61082r50194039.html?afpartner=03]],http://www.gustini.de/artikelbilder/61082.jpg,Nero d Avola IGT Sicilia Loggia del Sole Sizilien,"Aus der typisch sizilianischen Rebsorte Nero d&apos;Avola wird dieser intensiv dunkelrote Wein gekeltert, der durch seinen herrlichen Duft von Maulbeeren besticht. Ganz hervorragend zu roten Fleischgerichten.",,gustini,Gustini Online Shop,4.79,,"['DE / Wein und Prosecco / Rotwein unter 5 EUR', 'Loggia del Sole']",
