aff_link,img_medium,name,shortdescription,longdescription,author,outlet,price,external_id,further_keywords,vineyard
http://ad.zanox.com/ppc/?20177720C544376608&ULP=[[lidl.de%2Fde%2FRotwein%2FMontepulciano-d-Abruzzo-DOP%3Fet_cid%3D15%26et_lid%3D1726611]],http://lidlcsv.adspirit.de/adview.php?pid=20&wmid=22&novc=1&target=http://%imgsvr%/banner/lidlcsv/import24/2012-09-14/f1c500b953fec76139138259097efc8d.jpg,Montepulciano d´Abruzzo DOP,"Fruchtiger, gehaltvoller Montepulciano mit Aroman nach Pflaumen, Kirschen und Gewürzen. (Rotwein) Preisreduzierung: Kategorienummer: 9954 je 0.75-l-Fl.",,lidl,Lidl Online Shop,1.99,21cf2726d816f71ee312d05df77ee814,Rotwein,
http://ad.zanox.com/ppc/?20177720C544376608&ULP=[[lidl.de%2Fde%2FRotwein%2FBarcelino-Catalunya-DO-Barrica%3Fet_cid%3D15%26et_lid%3D1726611]],http://lidlcsv.adspirit.de/adview.php?pid=20&wmid=22&novc=1&target=http://%imgsvr%/banner/lidlcsv/import24/2013-01-22/9667c59331c6d15aabc955abf550e70f.jpg,Barceliño Catalunya DO Barrica,Der Barceliño ist einer der erfolgreichsten Rotweine aus Katalonien. (Rotwein) Preisreduzierung: Kategorienummer: 9954 je 0.75-l-Fl.,,lidl,Lidl Online Shop,3.99,0f382a1c259966abbe11a2ad3a7a20b0,Rotwein,
http://ad.zanox.com/ppc/?20177720C544376608&ULP=[[lidl.de%2Fde%2FRotwein%2FSpaetburgunder-Rotwein%3Fet_cid%3D15%26et_lid%3D1726611]],http://lidlcsv.adspirit.de/adview.php?pid=20&wmid=22&novc=1&target=http://%imgsvr%/banner/lidlcsv/import24/2013-01-22/cad98a11e2f3c9b3db197dc972c16160.jpg,Spätburgunder Rotwein,Im Duft hat er dezente Aromen nach Brom- und Himbeeren. (Rotwein) Preisreduzierung: Kategorienummer: 9954 je 0.75-l-Fl.,,lidl,Lidl Online Shop,2.79,9ac3dcd4dea9a9c076e3d2466f83bd32,Rotwein,
http://ad.zanox.com/ppc/?20177720C544376608&ULP=[[lidl.de%2Fde%2FRotwein%2FVino-Tinto-Bobal-Valencia-DO%3Fet_cid%3D15%26et_lid%3D1726611]],http://lidlcsv.adspirit.de/adview.php?pid=20&wmid=22&novc=1&target=http://%imgsvr%/banner/lidlcsv/import24/2012-12-04/eae5611b4b25dd6ccf56ba41e240e3f7.jpg,Vino Tinto Bobal Valencia DO,Das Zusammenspiel der Tannine und der vorhandenen Restsüße zeichnet diesen Wein aus. (Rotwein) Preisreduzierung: Kategorienummer: 9954 je 1-l-Fl.,,lidl,Lidl Online Shop,1.49,cc145aa58055ad6c8ead313128d46a95,Rotwein,
http://ad.zanox.com/ppc/?20177720C544376608&ULP=[[lidl.de%2Fde%2FRotwein%2FDornfelder-QbA-Pfalz%2FRheinhessen-trocken-2011%3Fet_cid%3D15%26et_lid%3D1726611]],http://lidlcsv.adspirit.de/adview.php?pid=20&wmid=22&novc=1&target=http://%imgsvr%/banner/lidlcsv/import24/2012-09-11/68132ca07ef849606183e5b02f27e817.jpg,"Dornfelder QbA, Pfalz/Rheinhessen, trocken, 2011",Dieser trockene Dornfelder präsentiert sich im Glas kirschrot. (Rotwein) Preisreduzierung: Kategorienummer: 9954 je 0.75-l-Fl.,,lidl,Lidl Online Shop,1.99,5397de49a040c75d2baed91d9b91242c,Rotwein,
http://ad.zanox.com/ppc/?20177720C544376608&ULP=[[lidl.de%2Fde%2FRotwein%2FChianti-DOCG-trocken-2010%3Fet_cid%3D15%26et_lid%3D1726611]],http://lidlcsv.adspirit.de/adview.php?pid=20&wmid=22&novc=1&target=http://%imgsvr%/banner/lidlcsv/import24/2012-09-11/9ebab6b828004d6e88d65db92c9369e2.jpg,"Chianti DOCG, trocken, 2010","Dieser typische und bekannte italienische Rotwein, geprägt durch seine rubinrote Farbe, den trockenen Geschmack und das harmonische, vollmundige und würzige Bouquet, eignet sich besonders zu dunklem Fleisch und Wildspezialitäten. (Rotwein) Preisreduzierung: Kategorienummer: 9954 je 0.75-l-Fl.",,lidl,Lidl Online Shop,2.59,b62e46ee44ad8a649844279b633ddd48,Rotwein,
http://ad.zanox.com/ppc/?20177720C544376608&ULP=[[lidl.de%2Fde%2FRotwein%2FSchwarzriesling-Wuerttemberg-QbA%3Fet_cid%3D15%26et_lid%3D1726611]],http://lidlcsv.adspirit.de/adview.php?pid=20&wmid=22&novc=1&target=http://%imgsvr%/banner/lidlcsv/import24/2012-12-04/3e5b4a64a64f289d18efba36a6d475be.jpg,Schwarzriesling Württemberg QbA,Der vollmundige Württemberger Schwarzriesling ist eine der traditionsreichsten Weinspezialitäten der Region. (Rotwein) Preisreduzierung: Kategorienummer: 9954 je 1-l-Fl.,,lidl,Lidl Online Shop,3.79,a125815cf3f86f466dd8bb4034eafe7c,Rotwein,
http://ad.zanox.com/ppc/?20177720C544376608&ULP=[[lidl.de%2Fde%2FWeisswein%2FSoave-Classico-DOC%3Fet_cid%3D15%26et_lid%3D1726611]],http://lidlcsv.adspirit.de/adview.php?pid=20&wmid=22&novc=1&target=http://%imgsvr%/banner/lidlcsv/import24/2012-12-20/97add0abd6612beb7d245e0a8e34521a.jpg,Soave Classico DOC,Der kleine Weinort SOAVE liegt östlich des Gardasees in der Region Venetien und gibt diesem beliebten italienischen Weißwein seinen Namen. (Weißwein) Preisreduzierung: Kategorienummer: 9957 je 0.75-l-Fl.,,lidl,Lidl Online Shop,1.99,97bbdb6587a76c305aa66196470f3a3b,Weißwein,
http://ad.zanox.com/ppc/?20177720C544376608&ULP=[[lidl.de%2Fde%2FChampagner-Sekt-Secco%2FProsecco-di-Conegliano%3Fet_cid%3D15%26et_lid%3D1726611]],http://lidlcsv.adspirit.de/adview.php?pid=20&wmid=22&novc=1&target=http://%imgsvr%/banner/lidlcsv/import24/2012-09-12/85f94edafec38111c21a18323262778f.jpg,Prosecco di Conegliano,"Die Trauben dieses Prosecco Spumante Superiore werden in der Provinz Treviso angebaut. (Champagner, Sekt / Secco) Preisreduzierung: Kategorienummer: 9951 je 0.75-l-Fl.",,lidl,Lidl Online Shop,5.49,937cb987599bce86c1de7c33a93044a0,"Champagner, Sekt / Secco",
http://ad.zanox.com/ppc/?20177720C544376608&ULP=[[lidl.de%2Fde%2FRotwein%2FTeroldego-Rotaliano-Riserva-DOC%3Fet_cid%3D15%26et_lid%3D1726611]],http://lidlcsv.adspirit.de/adview.php?pid=20&wmid=22&novc=1&target=http://%imgsvr%/banner/lidlcsv/import24/2012-09-11/7703dd05f1abee2e5ad33b946d110b98.jpg,Teroldego Rotaliano Riserva DOC,Über 2 Jahre reift der Wein im Edelstahl und Eichenfass und ist dadurch vollmundig. (Rotwein) Preisreduzierung: Kategorienummer: 9954 je 0.75-l-Fl.,,lidl,Lidl Online Shop,3.99,a1db3957ff7dfdd974f6726a238d744e,Rotwein,
